Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TimKiem,Chrome 120.0.0.0,,,2024-01-09 19:43:27,2024-01-09 19:44:53,1m - 25.301s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-09 19:43:28,2024-01-09 19:43:39,11.539s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-09 19:43:28,2024-01-09 19:43:31,2.802s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-09 19:43:31,2024-01-09 19:43:35,4.000s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-09 19:43:35,2024-01-09 19:43:36,0.783s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-09 19:43:36,2024-01-09 19:43:37,1.724s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-09 19:43:37,2024-01-09 19:43:39,1.123s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-09 19:43:39,2024-01-09 19:43:39,0.721s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-09 19:43:39,2024-01-09 19:43:50,10.245s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-09 19:43:39,2024-01-09 19:43:41,1.717s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-09 19:43:41,2024-01-09 19:43:45,4.263s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-09 19:43:45,2024-01-09 19:43:46,0.847s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-09 19:43:46,2024-01-09 19:43:48,1.635s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-09 19:43:48,2024-01-09 19:43:49,1.091s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-09 19:43:49,2024-01-09 19:43:49,0.677s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-09 19:43:50,2024-01-09 19:44:01,10.992s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-09 19:43:50,2024-01-09 19:43:51,1.760s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-09 19:43:51,2024-01-09 19:43:56,4.756s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-09 19:43:56,2024-01-09 19:43:57,0.869s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-09 19:43:57,2024-01-09 19:43:59,1.737s,PASSED
