Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TimKiem,Chrome 120.0.0.0,,,2024-01-11 13:12:49,2024-01-11 13:16:13,3m - 23.847s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:12:50,2024-01-11 13:13:01,11.664s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:12:50,2024-01-11 13:12:53,3.370s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:12:53,2024-01-11 13:12:57,3.499s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:12:57,2024-01-11 13:12:58,0.799s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:12:58,2024-01-11 13:12:59,1.873s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:12:59,2024-01-11 13:13:01,1.079s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:01,2024-01-11 13:13:01,0.682s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:01,2024-01-11 13:13:11,9.455s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:01,2024-01-11 13:13:03,1.569s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:03,2024-01-11 13:13:06,3.081s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:06,2024-01-11 13:13:07,1.204s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:07,2024-01-11 13:13:09,1.701s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:09,2024-01-11 13:13:10,1.122s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:10,2024-01-11 13:13:11,0.765s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:11,2024-01-11 13:13:20,9.708s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:11,2024-01-11 13:13:12,1.624s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:12,2024-01-11 13:13:16,3.920s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:16,2024-01-11 13:13:17,0.803s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:17,2024-01-11 13:13:19,1.645s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:19,2024-01-11 13:13:20,1.036s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:20,2024-01-11 13:13:20,0.667s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:20,2024-01-11 13:13:30,9.674s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:20,2024-01-11 13:13:22,1.598s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:22,2024-01-11 13:13:26,3.720s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:26,2024-01-11 13:13:27,0.816s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:27,2024-01-11 13:13:28,1.773s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:28,2024-01-11 13:13:29,1.065s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:29,2024-01-11 13:13:30,0.686s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:30,2024-01-11 13:13:40,9.958s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:30,2024-01-11 13:13:32,1.604s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:32,2024-01-11 13:13:36,4.022s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:36,2024-01-11 13:13:37,0.817s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:37,2024-01-11 13:13:38,1.757s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:38,2024-01-11 13:13:39,1.043s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:39,2024-01-11 13:13:40,0.699s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:40,2024-01-11 13:13:49,9.272s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:40,2024-01-11 13:13:42,1.575s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:42,2024-01-11 13:13:45,3.127s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:45,2024-01-11 13:13:46,1.253s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:46,2024-01-11 13:13:48,1.634s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:48,2024-01-11 13:13:49,0.994s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:49,2024-01-11 13:13:49,0.677s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:49,2024-01-11 13:13:59,9.714s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-11 13:13:49,2024-01-11 13:13:51,1.621s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-11 13:13:51,2024-01-11 13:13:55,3.917s,PASSED
"click(findTestObject(""Object Repository/Page_Webstie c truyn online/span_""))",Chrome 120.0.0.0,,,2024-01-11 13:13:55,2024-01-11 13:13:56,0.785s,PASSED
"setText(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), tentruyen)",Chrome 120.0.0.0,,,2024-01-11 13:13:56,2024-01-11 13:13:57,1.517s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Webstie c truyn online/input_Ti_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-11 13:13:57,2024-01-11 13:13:58,1.177s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-11 13:13:58,2024-01-11 13:13:59,0.685s,PASSED
,,,,,,,
Test Cases/TimKiem_tentruyen,Chrome 120.0.0.0,,,2024-01-11 13:13:59,2024-01-11 13:14:09,9.635s,PASSED
